-3.5,529,122.84
-45,190,129.9
193,232,129.7
3.5,522,282
-85,235,277.3
193,258,259.8
3.5,522,282
1.15,115.34,77.24
-59.2,544,133
-73,172,122
-0.17,576.74,197.44
1735,525,133
1485,259,140
1708,180,140
1735,520,282
1515,255,265
1706,192,265
1735,520,282
1665,121.03,381.18
1790,525,134.01
1726.94,167.79,157.53
1735,549.85,197.97
